score,description,date
"1,0","Bom dia ,Gostaria de saber como posso esta fazendo  este produto soltou a aderência da parte da fritadeira  aonde segura a gordura. conforme foto anexa, nao era pra ter acontecido isso poiso produto não tem nem 6 mês de uso.",4 de agosto de 2020
"1,0","O produto veio com defeito. O puxador quebrou logo no primeiro uso. A Amazon não faz a troxa, apenas o reembolso e o produto já aumentou em mais de 50 reais no site. A Mondial demora 30 dias pra arrumar. Pos vendas muito ruim da Mondial, recomendo comprar de outra marca.",10 de agosto de 2020
"3,0",Infelizmente minha fritadeira veio com problemas. Na segunda veze que usei desligou sozinha. E depois  por mais vezes sem motivo. Tentei contato com a loja sem sucesso. Estou tentando contato com o fabricante pra ver o que pode ser feito. Lamentável.,28 de abril de 2020
"5,0","Melhor custo benefício, ideal para casais.Recomendo que façam a cura do Teflon antes do primeiro uso, como indicado no vídeo de Maurício torres no YouTube.Uso o produto diariamente, às vezes mais de 1 vez ao dia. Após 2 meses de uso apareceu o primeiro sinal de desgaste do Teflon, mas muito pequeno, nada que interfira no uso.Recomendo:Faça a cura do TeflonUtilize utensílios de siliconeNão deixe em funcionamento sem alimentos por tempo desnecessárioApós o uso, espere esfriar e lave o cesto e cuba. Higienize com pano úmido o interior da câmara, não deixe resíduos acumulados de várias refeições, assim a limpeza será fácil.Lave com esponja específica para Teflon.O bom uso garantirá a durabilidade do produto.",15 de maio de 2021
"2,0","A mídia não pôde ser carregada.
                




   Muito bom! Os alimentos ficam crocantes. Infelizmente, apesar de todos os cuidados, as duas fritadeiras que adquiri estão com o fundo enferrujando. Parece que esse é um problema recorrente.",13 de novembro de 2019
"5,0","Adorei o produto, minha reclamação e referente a entregadora que as 7h e 40 da manhã, se achou no direito de reclamar da minha irmã não ter corrido para atender e ainda se dispôs grosseiramente a retornar com o produto. CUIDADO, CLIENTE MAL TRATADO É INVESTIMENTO JOGADO FORA!",20 de janeiro de 2021
"1,0","O produto é desnecessário a não ser que você queira assar frituras como batatinhas e salgados com menos óleo. Fora isso, tudo que esse produto faz pode ser feito melhor e com mais economia e qualidade no fogão. O grande absurdo é que segui todas as instruções do manual e quando assei uma carne no aparelho, a cozinha ficou com um cheiro forte de teflon e a a carne ficou com gosto de teflon. Pra mim ficou clara a falta de respeito da Mondial para com o consumidor. Me parece que este não é um produto durável ou seguro para a saúde do consumidor.",14 de janeiro de 2021
"2,0","Muito chateado, com apenas um mês de uso o antiaderente começou a sair...",28 de setembro de 2020
"1,0",Minha máquina não tem 2 meses e descascou toda o fundo!,9 de novembro de 2020
"5,0","Estavámos cogitando comprar a Philips Wallita, mas como nunca tivémos nenhuma AirFryer me preocupava em fazer o investimento numa Phillips Wallita e depois acabar não usando... optei por comprar esta, pois o valor é bem mais em conta!Funciona super bem! Ainda bem que não gastei 1300 reais numa air fryer sendo que essa tem atendido tudo oque fazemos nela (batata e outras pequenas coisas de fritura como coxinha nuggets etc...)A limpeza eu realizo apenas com um papel toalha para não danificar o teflon, (não uso detergente) tenho ela a 6 meses agora, esta perfeita!",13 de maio de 2021
