score,description,date
"4,0",Cuido da minha mãe com 93 anos e coloquei para acompanhar seus movimentos pois já houve queda ao se levantar.,7 de janeiro de 2021
"5,0","Maravilhosa! Excelente! Poucas vezes na vida eu vi algo tão bom. Ela é fantástica em tudo: facílima de instalar, de usar, de ver a gravação, ela tem auto falante, microfone, o app é muito legal... Eu só tenho elogios.  Vale muito à pena. Compre o cartão memória para rastrear as gravações.  Compre sem medo !",14 de outubro de 2020
"5,0","Gostamos bastante dessa câmera! A qualidade da imagem é ótima, tem microfone e autofalante embutido, detecção de movimento, modo noturno, gravação dos vídeos em cartão de memória e claro, a possibilidade de movimentar a câmera. A instalação foi fácil, seguindo as orientações do manual. O app da TP-LINK também funciona bem e tem vários recursos. É possível instalar em mais de um celular para poder ver os vídeos e receber notificações de movimento. O único ponto negativo até agora foi que o microfone é um pouco baixo. Então, já aconteceu do nosso filho estar chorando e não ouvirmos. Mas usamos juntamente com uma babá eletrônica que funciona bem. Levando em conta todos os recursos oferecidos a TAPO C200 é um ótimo custo-benefício!",26 de maio de 2020
"4,0","Os pontos abaixo foram escritos levando em conta uso interno, em um cômodo de um apartamento e sem usar a funcionalidade de gravação.Pontos positivos:- Boa qualidade de imagem. Nítida.- Visão noturna ok, ao menos a uma distância de cerca de 3 metros da câmera (distância máxima entre ela e o final do cômodo).- Movimentação horizontal e vertical ok, podendo regular entre 5, 10 e 15 graus o quanto ela se move a cada clique na interface do aplicativo.- Possui um zoom digital que pode ser usado através de movimento de pinça na tela do celular/tablet onde for instalado aplicativo.- Permite que você coloque a câmera em uma determina posição e grave essa posição, assim você consegue ter várias posições pré-definidas o que permite que com um clique você movimente a câmera para a posição desejada.Pontos negativos:- Se você configurar a câmera com uma rede wifi e quiser mudá-la de rede, somente através de reset, pois a mesma não permite mudar a rede através do aplicativo.- Apesar de aparentemente fácil configurar, não foi assim comigo pelas duas vezes (precisei mudar a rede) que precisei. No passo em que você fornece suas credenciais de rede, você estará conectado em uma rede que a própria câmera cria para o início da configuração e que faz parte do processo. Na transição dessa rede para a que você de fato quer a câmera conectada, por diversas vezes falhou até conseguir conectar. Na internet achei uma pessoa falando para desligar o 3G do celular, e funcionou na primeira rede onde configurei. Já na segunda rede, a que a câmera ficaria em definitivo, mesmo fazendo isso não funcionou. Foram necessárias mais de 10 tentativas até que a câmera conecta-se com a rede onde eu queria a mesma configurada. E não sei dizer o porque funcionou. Minha única hipótese é que quando demora muito para conectar na rede definitiva, ocorre um erro, pois na vez que funcionou, foi rápido.Ponto que pode ser importante para alguns:- A camêra não tem opção de ser vista pelo computador, seja navegador ou aplicativo. Somente celular e tablet. Funciona bem pelo aplicativo disponível, tanto em outra rede quanto pelo 3G.",4 de março de 2021
"3,0","Eu tinha uma Intelbras IC4, mas pensei em usar o Echo Show como visor pra câmera do berço e acabei comprando essa câmera. Alguns pontos legais, ela tem pre set de posições, e as respostas são mais rápidas que a Intelbras.Agora, na comparação entre as duas, o restante é somente negativo: não há como adicionar pessoas para controlar a câmera pelo aplicativo, a skil da Alexa demora muito tempo pra abrir e fecha sozinha depois de uns 2 minutos (e não existe onde configurar esse tempo), a visão noturna é péssima, muito ruim mesmo. O sinal é fraco, onde tudo funciona normalmente, a câmera não transmite. A menos de 10m do roteador e com apenas uma parede entre eles, ela só consegue transmitir em baixa qualidade (que é bem baixa mesmo). A imagem em HD é misteriosamente pior que da IC4.No fim das contas, a menos que você realmente precise usar a câmera com  algum dispositivo Echo ou com Nest (e realmente queira a segurança de uma skill proprietária) eu não recomendaria esse produto.",17 de dezembro de 2020
"1,0","Estou usando há quase um ano. O maior problema é que a câmera faz apenas uma tentativa de conexão à rede Wi-Fi, quando falta energia elétrica. Como o roteador demora mais para reiniciar, a câmera aparece no aplicativo como desligada. Aí é preciso estar no local para desligá-la e religá-la, para conectar. Se você quer monitorar de outro local, não consegue mais. Fica ""na mão"". A câmera tem boa imagem, tanto com iluminação, como no escuro.",5 de outubro de 2020
"5,0","fuciona bem com o aplicativo TAPO no celular, no echo show 5, no momento só a função vizualizar camera e sair da camera,  tem um delay de +- 3 segundos a imagem, quanto a camera funciona perfeitamente imagem ótima, tanto de dia ou de noite. Recomendo.",10 de junho de 2020
"5,0","Sensor de movimento excelente , visão noturna boa, aplicativo excelente, imagem boa.",17 de novembro de 2020
"5,0","Meu parecer sobre o produto (C200).Comprei duas (e mais duas, tempo depois), são muito boas, discretas, bonitas e o aplicativo TAPO controla as quatro, permitindo dividir a tela em 4 partes, se tiver mais câmeras, ele rola a tela para ver as outras. Dá pra dividir na tela do celular em 4 ou 8 blocos e ver todas simultaneamente.O microfone dela captura bem o áudio do ambiente e pega até áudio na rua (moro em uma casa).O alto falante é um pouco baixo, dependendo do seu tom de voz, tem que falar um pouco alto pra ouvir na câmera. Mas esse não é o propósito da câmera.A resolução é FullHD (1080p), imagem bastante nítida e cores boas (a rede wifi que ela está conectada tem que ser boa também, pois a transmissão depende disso). Com o gesto de 'pinça' na tela, ela amplia a imagem (zoom digital).Caso a internet esteja lenta, ela alterna para baixa resolução para melhorar a transmissão, mas isso vc pode escolher. Cabe ressaltar que a GRAVAÇão no cartão de memória é sempre em alta resolução.Tem boa detecção de movimento e alerta quando isso ocorre. Inclusive dá para escolher certas áreas da tela onde quer detectar o movimento. Possui visão infravermelho, deixando ambientes escuros como se fosse de dia (mas em preto e branco).É possível ver a imagem estando fora de casa, usando o 3g/4g, por exemplo.Vale lembrar que ela não é para ambientes externos onde possa pegar chuviscos e etc.Ela tb é uma câmera fácil de alguem desencaixar para pegar, então se for colocar em alguma área aberta mas coberta, garanta uma proteção para a mesma.--Recentemente foi incluso no App Tapo algumas funcionalidades pagas, mas as outras (que citei anteriormente) não perderam a funcionalidade. Foi acrescentado um plano pago para a câmera seguir o movimento (rotacionando) e tb para salvar em nuvem, dentre outros. Mas ela segue cumprindo com o que veio.Tem vídeos dela no youtube.Espero ter ajudado!",7 de janeiro de 2021
"2,0","Apesar de dizer que gera notificação, não está gerando notificação apenas alarmeQuando instalado com a Echo show nao da para utilizar como babá eletrônica pois depois de alguns minutos a Echo show entra com tela descanso e desconecta a imagem da cama, ou seja impossível deixar a noite inteira funcionado como babá eletrônica sem ter que ficar repetindo Alexa mostrar câmera a cada 5 min. EU comprei a câmera e a Echo show para está finalidade",6 de fevereiro de 2021
"5,0",A câmera tem boa resolução tanto diurno quanto noturno.O aplicativo tapo atende bem e é possível incluir várias outras câmeras. Também é facilmente acessível via Alexa e outros softwares de terceiros para gravação cloud ( pena que Amazon Cloud não é disponível no Brasil )Boa compra,10 de julho de 2020
"5,0","O produto é excepcional, tem bom acabamento e parece ser resistente. Comprei para quarto de pai idoso que mora comigo. Tem um delay de uns 2 segundos mas a imagem é boa, tem sensor e alerta de movimento (com envio de notificações para o ceular, função que pode ser suprimida), alarme, modo noturno, microfone, giro 360, entre outras funções. Pode ser configurada na parede, teto e superfície horizontal. De fácil instalação, levou menos de 10 minutos para configurar. O aplicativo é leve e prático. Uma função interessante é poder falar no app e o som sair na câmera, dando para manter um diálogo com a pessoa filmada. Comprei e recebi em 24horas, Prime, Amazon, dando show na concorrência.",30 de março de 2021
"5,0",Produto muito bom! Prático e simples de instalar. Além do detalhe de você checar as imagens de qualquer dispositivo com internet.,14 de agosto de 2020
"5,0","O produto é muito bom! Simples assim. Faz exatamente o que tem de fazer e não tem erro.O aplicativo é simples e bastante intuitivo! Você consegue mover a câmera na horizontal e diagonal de forma bem simples, a qualidade de imagem em ambiente noturno é excelente e o tão famoso lag que alguns falam e tanto reclamam se usado em dispositivos como o EchoShow 8' que uso é de aproximadamente 7 segundos. Considero uma margem boa já que é outro dispositivo que tem de receber os dados. Já no aplicativo para o celular o delay é de menos de 1s, ou seja, tempo real mesmo. Super recomendo!Comprei com o intuito de monitorar minha gata que fica só em casa e quero criar alertas com sensor de movimento para disparar alertas. Ainda não tive tempo de fazer essa ação, mas como sei que independe desse produto específico posso recomendá-los a vocês.Ah e mais um detalhe: o cabo de energia é bem grande! Muito bom!",16 de junho de 2021
"5,0","Perfeita a imagem, tanto no modo dia quanto noite! Sensor de movimentos ok, envia notificações ao aplicativo sempre que tem um movimento. Comandos de voz funcionam bem, é um pouco baixo se colocar a câmera pendurada no teto e em um ambiente grande, mas para pequenos espaços (meu caso), funciona muito bem! Comprei para monitorar meu cachorro quando não estou em casa, ele reage ao áudio, então acho que funciona bem :) a movimentação da câmera também é boa e tem algumas funções como gravar um ângulo para que sempre que necessário, a câmera já se direcione diretamente para aquele ponto!",14 de dezembro de 2020
"4,0","Pontos Positivos: Imagem muito boa se a sua internet for rápida, depende muito da conexão; sensor de movimento funciona super bem; caiu 2 x no chão da altura do berço do meu filho e não quebrou; o comprimento do fio da fonte é grande.Pontos Negativos: Possui um delay principalmente se a sua conexão da internet for ruim; qdo vc compartilha a câmera com mais alguém as funcionalidade ficam limitadas (somente consegue habilitar e desabilitar o sensor de movimento.Uso como babá eletrônica monitoramento o meu filho (recém nascido)",30 de abril de 2021
"5,0","Produto de ótima qualidade me surpreendeu quanto a qualidade da imagem, a cotação de áudio também é muito bom. Vale ressaltar que é necessário ter uma internete de qualidade,devido a mesma não possuir antenas. Também é bom observar onde vai colocar pois a câmera gira sobre sua base. Funciona perfeitamente no 4g usando a qualidade baixa ainda se tem uma ótima visão. Software de fácil configuração contudo somente pode ter um administrador,este movimenta a câmera e acessa as demais funções. Já os demais somente podem visualizar não controlam a câmera.No momento utilizando como babá eletrônica e totalmente satisfeito.",29 de abril de 2021
"5,0","Se vc tá precisando comprar um câmera para instalar em casa, essa é câmera que vc precisa.Melhor preço, funcional, fácil de instalar e manipular.Tenho uma há quase dez meses e sem qualquer observação que permita não recomendar.Penso hj em comprar outra câmera, agora para instalar em ambiente externo. Se houvesse uma versão como esta disponível no mercado nacional, eu compraria uma Tappo.A descrição não indica, mas ela é boa para fazer integração com outras câmeras de marcas diferentes por meio de protocolo ONVIF. Soube que é boa também par ao Google Assistent e Alexa.",11 de outubro de 2021
"4,0","Comprei a câmera para utilizar como babá eletrônica, já que segundo relatos o sensor de movimento, imagens e microfone, substituiria a babá eletrônica com louvor.Infelizmente ela NÃO serve para babá eletrônica, o sensor de movimento só detecta a uma distância de 30 cm, como instalei distante do berço (cerca de 60cm) o sensor não funciona.Contudo a câmera serve muito bem para monitoramento, as imagens são boas(existem melhores, mas cobram mais por isso).No geral, recomendo o produto, mas com ressalvas para utilizá-lo como babá eletrônica, já que recomendo uma babá eletrônica de áudio para completar as funções.",16 de maio de 2021
"3,0","A palavra ""Sensor de Movimento"" induz a que o comprador pense que a câmera percebe um movimento e vai se mover para capturar o que se move em toda sua extensão. Não é o que acontece. É uma câmera Estática.O Setup também não foi simples pois, para configurá-la, é necessário entrar em um Rede que ela cria para depois transferí-la para a Rede do Usuário.Ter dois Mac Address também é um desafio.",1 de abril de 2021
"5,0","Perfeita! Eficiente sem ser complicada. Muito simples e fácil de configurar e operar. É impressionante a rapidez entre tirar da caixa e já estar configurada e operando na sua casa. Atende e supera as expectativas dos mais exigentes. O aplicativo é um show à parte. A TP-Link está um passo à frente em termos de solidez do hardware e do software. O custo-benefício é imbatível no segmento. Capacidade noturna e sensor de movimento impecáveis. Muitas configurações possíveis, de forma simples e intuitiva através do aplicativo. Não basta ser um bom produto com características excepcionais, precisa funcionar redondo, de forma simples, intuitiva, fácil e, sobretudo, confiável e robusta, afinal estamos falando de um produto voltado para a segurança, inclusive para monitorar seus filhos, sua casa, etc. É isso que a TP-Link entrega com esse produto.",4 de maio de 2021
"5,0","Gostei bastante dessa Câmera. Não é a melhor câmera do mundo (hehehe) mas atende as minhas necessidades. Tenho 2 câmeras em minha casa. Tenho intenção em adquirir mais 1 ou 2. Como não tenho interesse em instalar um DVR, o tipo dessa câmera atende minhas necessidades.",18 de fevereiro de 2021
"5,0","Produto é muito bom, fácil instalação e a configuração feita pelo app é muito simples. Qualidade de imagem muito boa, visão noturna também muito boa. Captura do som poderia ser um pouco melhor, mas é o suficiente. O melhor do APP é poder registrar uma posição fixa e ao mudar a câmera poder voltar automaticamente para essa posição pré-definida no app apenas com um toque na tela. Recomendo o produto!",9 de junho de 2021
"1,0","Lixo! Não comprem! São muitos problemas... Vou tentar lembrar de todos para lhes avisar... câmera não grava em nuvem; e mesmo com cartão classe 10, ela perde muita, mas muitas gravações. App é péssimo! vc recebe notificação de movimento e tenta acessar... Leva quase 1 minuto para mostrar ao vivo (isso quando não trava o app e vc demora ainda mais - e eu tenho um A50, que não tem joguinhos, facebook, whatsapp e estas coisas pra deixar o celular lento). As zonas de movimento, não ficam fixas no enquadramento (se você move a câmera, começa a receber as notificações de outro local). Não é possível ver pela web... então, vc é obrigado a ficar vendo pelo péssimo app deles... E esse app não permite ver em tela dividida. Ficamos obrigados a ver só pelo cel e não podemos usar o celular para outra coisa. O áudio é uma coisa ridícula! Eu tenho dois modelos desta ""coisa"" a 1.0 e a 2.0. Muda nada! Vc diz uma frase e não sai mais nada... Sem contar que quando vc fala, o audio do que você está assistindo fica mudo! E pra finalizar: tem um campo para contato no próprio app... Mas adivinha: se cadastra, loga e suas mensagens vão parar em Portugal... Cansados! Vc é obrigado a procurar no site, algum meio de falar aqui com o Brasil... Afinal, são tantos problemas... E pasmem!!! Mais cansados... ENTÃO, ENQUANTO AINDA PODEM, FUJAM DESTA MARCA! NÃO EXISTE NENHUMA INTERAÇÃO COM ALEXA! FIRETV NEM SABE MAIS O QUE É CAMERA TAPO... FUJAM ENQUANTO PODEM!!!",11 de agosto de 2021
"4,0","Ótimo produto! Utilizo para monitorar diversos pontos internos da casa (6 ao todo) e como forma de garantir a segurança dos meus pais. O produto funciona muito bem pelo aplicativo próprio da Tapo e tem funções muito legais como visão noturna, possibilidade de marcar posições da câmera para acesso rápido (especialmente importante porque a movimentação manual é bem lenta!) e acesso pela ecoshow e firestick. Outro ponto legal mas que poderia ser um pouco melhor é a possibilidade de comunicação, tanto ao estilo walkie talkie como ao estilo chamada (o recurso funciona muito bem para se monitorar o áudio do local mas a transmissão do som no ambiente é meio ruim). Pontos negativos: Demora bastante para mostrar a imagem via Alexa/firestick (imagem definida pelo app da Tapo e sem possibilidade de movimentação da câmera pela Alexa), não mostra a imagem pelo aplicativo Alexa do celular e nem pelo aplicativo Alexa de uma smart tv Samsung que tenho. Mas, no geral, atendeu bem às minhas necessidades.",30 de março de 2021
"4,0","Finalmente encontrei uma câmera IP que funciona de verdade. Já passei por YI Home 1080, desisti devido ao alto valor mensal/anual em USD, já passei por Xiaomi - Mijia, servidor lento localizado na China... travando no famoso erro dos 91%...  e por outras nacionais que não vou comentar...Vantagens desta câmera:1 - Custo-benefício;2 - Não depende de pagamento mensal para gravação;3 - Link RTPS, ou seja você poderá conectar o streaming da câmera (rtsp://username:password@IP Address:554/stream) em qualquer aplicativo, gravador NVR, Home-Assistant,etcEspero que no futuro não cobrem mensalidade para gravação.Por enquanto tudo 100%.",12 de maio de 2021
"5,0","Estava procurando uma câmera de baixo custo para colocar no pátio e monitorar meus cachorros, que fosse compatível com Alexa e me deparei com essa. Depois de ver uns reviews positivos no Youtube, resolvi apostar com a promoção da Black Friday e dei sorte. A Câmera é excelente, cheia de recursos, áudio bidirecional, gravação em cartão SD, detecção de movimento, notificações quase sem delay, ótima qualidade de imagem, rotação de 360º, marcação de posições, varredura vertical e horizontal, Modo Privacidade, visão noturna automática, configuração simples e rápida e muito mais. E ainda compatível com Alexa e Google Home. Na Alexa, a visualização só é possível no Echo Show, no app não visualiza e a Skill permite apenas ver a câmera na posição que se encontra, não é possível movimentar. No Google Home é a mesma coisa, a câmera é adicionada, mas não faz streaming ao vivo. No entanto, consegui visualizar as imagens ao vivo na TV usando um Chromecast de 1ª geração. No iPhone e iPad é possível adicionar widgets para acesso mais rápido. Também dá pra acessar usando Mac, mas tem que ser os novos com chip M1. O único problema que vi até o momento é que o acesso das imagens é apenas via App da Tapo e não é possível ver no navegador do computador. Outra coisa, ela não tem proteção contra água, por isso, precisa ficar protegida.",8 de dezembro de 2021
"3,0","A comunicação bidirecional é sofrivel. Ou se usa com o som baixo, ou alto com distorções e interferências.mas o maior problema que encontrei é que não é possível habilitar o sensor de presença de pessoas sem pagar o Tapo Care. Um ano de mensalidade dá para comprar outra câmera. Antes de comprar, não encontrei essa informação em nenhum lugar, senão não teria comprado, visto que tenho outras câmeras e todas oferecem o serviço gratuitamente.Me senti comprando uma venda casada, pois só posso usar o equipamento plenamente se comprar também o Tapo Care, e pior, NÃO AVISAM dessa obrigação antes da compra.",19 de janeiro de 2022
"4,0","Fácil de instalar e configurar, o app é intuitivo e funciona com a Alexa (mostra a imagem no echo show). Tem um ângulo de visão muito bom cabe muita coisa na imagem. Porém, tem um delay grande quando você vê a imagem no smartphone e a imagem não é boa (pior que a câmera chinesa sem marca que já tenho há 4 anos) parece daquelas webcam de 300kpixel antiga. A pesar de ter que fazer um cadastro no site tp-link cloud, ele não armazena as imagens como a d-link.",10 de outubro de 2020
