,score,description,date
0,0,O produto aparece usado...em baixo do aparelho os botões tem arranhões. Um produto novo não tem arranhões...,13 de novembro de 2019
1,2,"Mouse sem fio ótimo, sem delay, nano receptor e pilhas inclusos tudo dentro do mouse, material resistente e logitech é uma ótima marca",19 de agosto de 2019
2,1,"A construção do mouse em si é boa, os clicks são consistentes, não são duros nem moles demais. O formato é relativamente pequeno, mas isso é esperado de um mouse wireless. O peso é ideal para o meu gosto pessoal, mesmo com a pilha. O maior problema dele é o sensor, de apenas 125hz, que é MUITO impreciso. Movimentos mais lentos fazem parecer que estou usando o mouse durante um rally, as linhas saem todas tortas, apresentando muito jitter no sinal do sensor, mesmo testando em mousepads diferentes e em computadores diferentes. Não sei dizer se é um defeito do mouse ou se é normal do modelo, pois é o unico que testei",15 de março de 2019
3,2,"A mídia não pôde ser carregada.
                




   Gostei muito do produto. O receptor USB fica guardado dentro do mouse. Muito confortável e levinho, ótimo para transportar! Não é o ideal para jogos, mas cumpre o que promete e supre minhas necessidades diárias. Os cliques são macios e não achei muito barulhento (comparado com alguns mouses que já usei).Uma coisa que me surpreendeu foi ter um laser invisível: quanto conectei o mouse no computador, fiquei apertando os botões e esperando a luzinha vermelha acender 🤦🏻‍♀️",31 de julho de 2020
4,0,"O mouse está em boas condições, funcionando bem e foi entregue no prazo. Veio na embalagem, tudo certinho. No entanto, olhando atentamente embaixo do mouse, onde possui as ""bolinhas"" quando se arrasta o mouse, notei que existiam vários riscos  (como se alguém já tivesse utilizado o produto). Estou totalmente desapontado, venderam pelo preço de um produto novo e mandaram um usado. NÃO RECOMENDO A COMPRA!!!!!!!!!!!!",21 de junho de 2020
5,1,"Sempre gostei dos Mouses da Logitech, mas o produto apresenta marcas nas borrachinhas da parte inferior. Desconfio que não seja realmente novo.Ao iniciar o  uso, o mesmo está apresentando um barulho alto no scroll! Aqueles barulhos chatos de ""falta de lubrificação"" ou algo do tipo.",13 de dezembro de 2019
6,2,"Até agora, o melhor mouse que eu já comprei! Muito gostoso de usar e mesmo depois de carregá-lo para vários lugares comigo, ele não está dando clique duplo ou tendo problemas para clicar e arrastar. Como designer, é muito importante eu poder contar com todas as funcionalidades do mouse funcionando a 100% e até agora estou achando maravilhoso!",10 de junho de 2019
7,0,"O scroll do mouse estragou com 5 meses de uso. Entrei em contato com a garantia pelo site, me mandaram um e-mail genérico dizendo pra eu fazer a limpeza do mouse com ar comprimido. Fiz e o defeito continuou. Ligo no suporte da Logitech e a linha cai, mesmo estando dentro do horário de funcionamento. Nunca mais compro nada dessa marca, do que adianta dizer que o produto tem garantia de um ano se quando a gente precisa acionar ela não existe?",8 de janeiro de 2021
8,2,"Estou usando o produto ja faz mais de uma semana e estou adorando. Ele desliza bem em diversas superfícies e tem uma pegada confortável. Vem com pilha e o usb vem internamente. O alcance realmente me surpreendeu, mais de 5 m de distancia e continuou pegando. Pelo custo benefício vale mto a pena.",14 de dezembro de 2019
9,1,"Chegou muito rápido o produto, a entrega do objeto não deixa a desejar, isso a Amazon é muito responsável, mas, como eu vi em vários comentários o produto ele não é novo!! Veio realmente usado como mostra as fotos!!! O site Amazon deveria banir quem faz propaganda enganosa!!! Eu paguei foi pra ter um produto novo e não usado!!! Falta de respeito com o consumidor, dá próxima vez que eu comprar um produto no site da Amazon e ele vim usado eu não vou deixar passar, vou atrás dos meus direitos de consumidora até o fim!!! Como mostra nas fts a tampinha do mouse onde remove e coloca pilha ela ta suja e as borrachas redondas tbm. Tratem de respeitar seus clientes e vão banir os responsáveis por passar propaganda falsa de um produto usado sem ser novo!!!",13 de agosto de 2020
10,0,"O mouse é simples e compatível com o preço. Nesse ponto, teria uma boa avaliação.Só que tem um problema que considero bem inconveniente. O receptor não é compatível com Unifying.E isso não está informado em lugar nenhum, nem na loja oficial da Logitech.No notebook para o qual comprei o mouse, uso um teclado Logitech sem fio.Tive que usar uma porta USB para o teclado e outra para o mouse. Num note que tem apenas 3 portas USB, acho ruim.  A Logitech deveria deixar isso bem claro.",3 de dezembro de 2019
11,2,"Mouse de boa qualidade, de ótima precisão e resposta. Como esperado, o mouse é todo de plástico resistente, com acabamento imitando metal. Comprei com bom custo-benefício.Ponto negativo: é menor do que pensei. A mão não se acomoda toda sobre o mouse. Podia ser mais ergonômico. No entanto, as outras qualidades compensaram esse aspecto negativo.",14 de abril de 2020
12,2,"Há aqui muitos comentários acusando o produto de vir usado porque levam em consideração as marcas que há nos ""pés"" do mouse. Não é que o mouse seja usado (porque realmente não é); a questão é que a fabricante não envia o mouse com proteções adesivas nos pés e na parte de cima, onde tem os botões. O que ocorre é que a embalagem do mouse é revestida de plástico por cima e papelão/papel por baixo. Como há uma folga de espaço entre o mouse e a embalagem, a movimentação do produto no transporte acaba fazendo com que o mouse se mova dentro da embalagem e isso faz com que o mouse possa ter marcas na parte de cima, nos botões, e marcas de uso na parte inferior, como se fossem usados. Prova disso é que as marcas são retas e têm um sentido só. Portanto, o mouse é, de fato, novo. O problema é que a Logitech não reveste o mouse com adesivos para proteger a parte superior e inferior do atrito com a própria parte interna da embalagem.Quanto ao uso, o mouse é ótimo para o uso comum, doméstico. É bem responsivo. Não há aquela luz vermelha comum aos mouses de sensor óptico. O clique não é silencioso, mas não é algo que não me incomode (até gosto do barulho do clique quando está tudo em silêncio). Não tenho tempo suficiente de uso com este exemplar para dizer o quanto dura a pilha e o quanto dura os botões. No entanto, minha companheira utiliza um exemplar do mesmo modelo no trabalho por 8h diárias com a mesma pilha há mais de 1 ano e não teve nenhum problema com os botões e/ou com o funcionamento geral do mouse.",19 de junho de 2021
13,2,Gostei bastante do mouse. É bonito e com uma ótima precisão. Atende bem as necessidades diárias. Recomendo a todos.,4 de setembro de 2019
14,2,"Otimo mouse, a logitech sempre dispoe de bons produtos. Esse mouse tem uma boa pegada nao sendo muito grande, o laser é invisivel entao a bateria tem uma maior autonomia. Vai ser util pra melhorar sua produtividade em tarefas simples, jogos mais basicos e navegacao",13 de abril de 2019
15,2,"Satisfeita com o produto, leve, bonito, e pequeno. Reparei leve ""arranhões"" nas borrachas como mencionado nos comentários aqui, porem não acho que sejam marcas de uso, e nem que o mouse seja usado.... so marcas mesmo do próprio atrito do mouse com a embalagem no transporte e etc.... enfim, estou satisfeita com a compra e como sempre o transporte da amazon perfeito, comprei numa quarta feira e na sexta ja estava em mãos.EDIT: a pilha que veio junto ao mouse durou cerca de 6 meses, como podem ver, adquiri o produto no inicio de novembro de 2020 e agora no inicio de maio 2021 acabou, considerando que eu sou uma pessoa que tenho consumo médio alto, achei que durou bem! Agora vamos ver quanto tempo durará a próxima pilha....",6 de novembro de 2020
16,1,"Quem tem mãos grandes acaba ficando muito tempo com as mãos ""em concha"" por que o mouse é estreito demais.Para uso com Word e Excel é Ok mas não recomendaria para uso com tratamento de imagens ou qualquer outro que exija segurar o mouse por um tempo prolongado.O Click falha algumas vezes, mas não chega a irritar.",21 de fevereiro de 2020
17,0,"Comprei esse mouse achando que pelo menos funcionaria legal por conta do seu preço, mas o que acontece é que o ponteiro não para quieto, você mexe um pouco e a seta treme toda, não dá para fazer absolutamente nada. Não serve para uso. Você clica em lugares errados sem querer. Um desastre trotal! Devolvi imediatamente e peguei o modelo PEBBLE M350, e foi uma das minha melhores compras esse ano!",10 de maio de 2021
18,2,"Comprei para a minha namorada e ela gostou. Se assemelha muito ao da Microsoft, tanto em usabilidade quanto em bateria. Arrisco a dizer que sua precisão é até melhor, sendo mais responsivo.",28 de abril de 2019
19,0,"Assim como relatado por outros usuários, o mouse que recebi também apresenta marcas de uso nos ""pés"". Só não irei realizar a troca pois preciso do mouse com urgência para trabalho e por conta de toda a burocracia de encaminhar aos correios, aguardar dias para receber um novo produto e correr o risco de receber outro nas mesmas condições ou em condições piores.",18 de agosto de 2020
20,2,"O ""Mouse sem fio Logitech M170 com Design Ambidestro Compacto, Conexão USB e Pilha Inclusa - Preto"" é muito bom. Preciso e rápido nos seus movimentos, vem contribuindo para a melhora do meu desempenho nas atividades que realizo no Notebook. Como não uso o Notebook para jogar, não tenho como fazer a avaliação nesse campo. Entretanto, o único porém, para mim, é o seu tamanho: é pequeno para a minha mão, conforme visto nas fotos.  Mesmo assim, aproveitando o seu  ""Custo x Benefício"", vale a pena comprar esse mouse.",21 de novembro de 2020
21,2,"Gostei, mouse muito preciso sem nenhum atraso nos cliques e a sensibilidade de movimentação do cursor é boa! O design dele é muito bonito, sem muitos detalhes, o que deixa mais elegante e limpo.E o tamanho dele também é ótimo para transportar, já que tenho um notebook e esse mouse sem fio ajuda muito.Mas gostaria de deixar claro 2 pontos negativos...1 - Tamanho: Para quem tem mãos grandes, como é o meu caso, pode se incomodar no começo (se não tiver costume é claro) tenho um mouse gamer e me adaptei com tamanho maior do mouse e estranhei muito a pegada deste Logitech, mas depois de usar por umas 3 horas me acostumei e não achei tão ruim, mas você pode demorar um pouco para se adaptar.2 - Lateral de plástico: Ao comprar eu já tinha assistido alguns vídeos no YouTube sobre o mouse mas nenhum mencionou sobre se a lateral do mouse é emborrachado ou plástico do próprio corpo, comprei na esperança de ser emborrachado mas não, é o mesmo material do corpo dele só que testurizado com uns detalhes.PORÉM... Isso não incomoda nada, por ser um mouse sem fio de baixo custo tá ótimo, estou satisfeito com o produto.Quem está pensando em comprá-lo, pode ir sem medo.",26 de agosto de 2020
22,2,"O produto é muito  bom, para afazeres de rotina trabalho e casa.Se você procura para usar na rotina de jogos, não recomendo já que o mouse não irá suportar as exigências de comandos e cliques, assim danificando o produto mais rapidamente.",21 de abril de 2020
23,2,"A melhor marca de mouse para se confiar no plug and play. Tem botão de on/off para não gastar pilha (vem com uma AA). Ótimo acabamento. Tempo de resposta muito rápido e com precisão. Só achei um pouco pequeno em termos ergonômicos e olha que tenho as mãos pequenas. Os dedos se ajustam direito, mas o mouse é pequeno para a palma da mão.",29 de março de 2021
24,0,"Comprei este mouse e fiquei chateado ao notar que os ''pés'' do mouse estava riscado. Sinal de uso. Mouse novo não vem com marcas.No mais, está funcionando. É bonito e ergonômico. Achei a sensibilidade um pouco elevada. Atrapalha um pouco mas com o tempo acostuma. Quanto a durabilidade das pilhas, ainda não posso opinar.",10 de março de 2021
25,2,"EDITADO: Liguei pro 0800 e o suporte pediu NF, foto do produto com o número de série e recebi um novo vindo pelo FEDEX. Fiquei feliz por ter tido o aparelho sust. fora que ainda me sinalizaram por email!!!!Usei sem problemas por quase 4 meses e do nada ele parou de funcionar. Troquei as pilhas e nada, mas nada msm! Liguei pro 0800 e fiz uma reclamação. Até o incidente eu estava super contente, mais me decepcionei e aguardo o retorno do suporte dele.",23 de fevereiro de 2021
26,2,"Comprei o produto a 04 meses e tem me atendido bem. A instalação é simples, basta conectar o receptor no seu PC e já está pronto pra uso!Junto com o mouse já vem inclusa uma pilha, o que facilita e permite usá-lo assim que você tira da caixa.Às vezes sinto um leve desconforto usando-o, talvez motivado por ele ser pequeno e a minha mão relativamente grande. Porém, nada que represente um problema real no dia-a-dia.O clique dele é suave e faz um barulhinho ao pressionarmos os botões, mas nada espalhafatoso.O meu já caiu umas 3x, derrubado pela minha gatinha e está firme forte, sem rachaduras ou marcas visíveis. Recomendo. p.s. Não jogo no computador, então não posso falar do desempenho em games. Se esse for seu foco, acredito que tenham produtos mais específicos e interessantes pra esse propósito. Este mouse é básico.",1 de setembro de 2020
27,2,"Estava usando um de fio da Multilaser  e já estava me incomodando com a imprecisão dele, por isso resolvi comprar um sem fio, e comprei esse pelos comentários positivos que vi aqui. Quando fiz o teste imediatamente percebi a diferença da qualidade de um pro outro. Esse mouse é bem ergonômico e muito preciso, não há “engasgos” como havia no outro, sem contar que por ele ser sem fio não existe aquela chatice de ficar jogando o fio de um lado pro outro por atrapalhar nas atividades, principalmente quando a mesa de trabalho é pequena. A conectividade dele é instantânea, plugou, usou. Trabalho com projetos em software 3D onde uso o mouse bem mais do que o teclado, e até agora ele tem me satisfeito em todos sentidos. Não tenho do que reclamar. Parabéns Logitec! Já tinha um teclado sem fio da marca pra iPad, com a mesma qualidade e custo benefício excelente.",17 de junho de 2021
28,2,"Pedi na terça e chegou na quinta. Impressionante! Ainda vou avaliar melhor o dispositivo. Já conheço a marca, por isso comprei Logitech. Plug and play e funcionou.A única observação que posso deixar aqui, foi que não achei de primeira o receptor USB, assim que abri a tampa para colocar a pilha direito. Ele forma uma parede onde a pilha fica, só vendo.",16 de abril de 2020
29,2,"O Mouse Logitech M170 é um excelente produto! Tem uma relação custo x benefício muito boa, e cumpre o que promete: é compacto, tem uma conexão boa com o computador, além de ser bem confortável para utilizar (mesmo sendo “mais compacto”, possui “clicks” suaves, um scroll bem legal). A bateria (pilha que já vem inclusa) é garantida que dura até 12 meses de uso. Já possuía outros produtos da Logitech e optei por esse por confiar no prestígio que a marca tem. Destaque: o laser (muitas vezes vermelhos nos demais mouses) aqui é “invisível”, então não se assuste caso a luz não acenda. Recomendo!",8 de maio de 2021
30,1,"Em relação a entrega, zero reclamações, antes do previsto.Já o produto, tenho usado desde o dia 13/04 e o produto tem satisfeito minhas necessidades (home office/EAD). É um mouse robusto, confortável de manipular e rápido. Minha reclamação é que o mouse veio USADO. Tem várias marcas de uso nas borrachinhas embaixo dele e uma mancha pequena na parte de cima, o que denuncia que foi previamente usado. Além disso, o mouse veio ligado já dentro da caixa.Não vou pedir devolução e reembolso devido a burocracia mas deixo aqui meu alerta para quem deseja comprar o produto.",21 de abril de 2021
31,0,"O produto é ótimo, tem um  design bonito e funciona bem. Mas a parte da entrega foi péssima entregaram o produto para um vizinho na mesma rua só porque tinha o primeiro nome igual, sendo que o número das casas é diferente, e pior entregou para uma pessoa que eu não conhecia que acabou abrindo o pacote, ainda bem que eu sabia quem era e ele me devolveu. Mas é uma total falta profissionalismo da parte do entregador de entregar um produto em uma casa com números diferentes só usando o nome para identificar.",10 de agosto de 2021
32,2,"Já estou usando a duas semanas, para uso no dia-a-dia e para jogar algumas horas por semana.Para o uso do dia-a-dia é muito bom: é bonito, tem precisão é boa, os botões são bons, a rodinha funciona bem.Para jogos funciona bem, note que não é um mouse gamer, mas ele é bom o bastante para jogar com tranquilidade.Vamos aos pontos fracos: O mouse não é desconfortável, mas poderia ser melhor. Sou uma pessoa de mãos pequenas (homem de 1 metro e 60), mas mesmo assim penso que o mouse poderia ser um pouco maior ou ter uma curvatura um pouco melhor.No geral, é um bom produto e esse vai ser meu mouse principal durante um bom tempo.",25 de junho de 2020
33,2,"O mouse é utilizado basicamente para trabalhos, por esse motivo dei 4 estrelas para jogos e games, pois não costumo jogar. Sobre ergonomia, ele é mais confortável para quem tem mãos de tamanho pequeno ou médio, pois considero a minha grande e o mouse ficou pequeno, mas a culpa é minha rsrs. Já estou de olho no modelo M280 que é maior e parece ser mais apropriado para meu tamanho de mão. Recomendo com certeza, mas poderia vir com bateria Duracell. Fica a dica.",19 de dezembro de 2020
