,0
0,"Ótimo produto, funciona muito bem!"
1,"Bom produto, atende bem ai meu uso..."
2,Muito bom
3,"Achei que o produto é bem fácil de instalar, porém, o tamanho desagradou para o encaixe na minha mão."
4,Ótima relação custo x benefício
5,Produto muito bom para quem procura um mouse para coisas simples. Resposta rápida e alcance longo
6,Supre tudo que se propõe
7,E muito bom.
8,Ergonomia boa... Acabamento legal... Funciona bem em superfícies ruins...
9,Mouse muito bom e entrega extremamente rápida!
10,Muito bom. Confortável. Superou toda expectativa. Recomento demais
11,"Ele é perfeito e preciso, não é muito grande. O que o torna confortável pra quem tem a mão um pouco menor. Excelente qualidade e resposta precisa."
12,"Ótimo, pode comprar"
13,Excelente mouse .Funciona muito bem
14,"Conexão rapida, funciona muito bem!"
15,"O mouse responde bem e sem interferências.É necessário usar um mousepad se o tampo da mesa for de vidro. Em outras superfícies sólidas não transparentes, o mouse funciona normalmente, dispensando mousepad.No geral, muito satisfeito com o produto."
16,Excelente produto
17,"Já tinha um mouse Logitech porém com fio, ele passou de geração em geração, era da minha mãe e eu peguei devido a durabilidade. Fui dar a bobeira de comprar um sem fio para que me atendesse melhor, tive a infelicidade de não ter a mesma durabilidade, fazem apenas 8 meses e agora ele não funciona o cursor, apenas o clique e a rolagem funcionam. Vi no site que os produtos da marca tem até 2 anos de garantia, mas caso eu não tenha comprado no site da marca eu preciso resolver com a marca que me vendeu. Espero que a Amazon resolva o meu problema e passe a minha insatisfação para a fabricante."
18,Muito bom...
19,"Mouse minimalista, bonito, confortável e extremamente prático.  Só quem teve um mouse da Logitech sabe que os eles são imbatíveis na qualidade, preço e desempenho. O sucesso nessa compra é garantido."
20,"Um produto muito bom, valeu a pena ter comprado"
21,Gostei muito! Vale muito a pena.
22,"Chegou muito rápido, comprei na sexta e na segunda chegou! Achei muito bom, veio tudo certo e funcionando perfeitamente!"
23,"Não sei o que mais posso relatar, atendeu as minhas expectativas.Edit: Quase um ano de uso, continua ótimo. Estou comprando o segundo, recomendo a todos. A carga da pilha ainda não acabou, dura muito. Ele é extremamente confortável e funcional, perfeito para trabalho. Nunca utilizei mouses gamers para saber se tem diferença, mas uso ele para jogar e jogo tranquilamente RTS."
24,Top
25,"É um mouse barato, mas é bem construído e de fácil conexão, só plugar e usar. É um pouco menor do que eu gostaria, mas a minha intenção com ele é de ser um mouse portátil pra eu usar onde precisar. Ele não é o mais preciso nem o mais confortável dos meus mouses, mas com certeza é o mais versátil pelo valor, portabilidade e qualidade. Recomendo!"
26,Excelente mouse para trabalho
27,"Muito bom. Botão de ligar e desligar, bateria dura muito tempo."
28,"Bom para uso normal, rápida resposta e leve no uso. Não indicaria para games"
29,Muito bom
30,"Ótimo para jogar, não tem problemas de interferência"
31,Muito bom e fácil de usar
32,O produto cumpre o que promete. É ótimo. Custo benefício também ótimo. Quanto ao prazo de entrega estipulado pela Amazon ele surpreendeu: entregou 8 dias antes. Isto é muito gratificante
