,0
0,Ótimo produto funciona bem 
1,Bom produto atende bem ai uso ... 
2,bom 
3,Achei produto bem fácil instalar porém tamanho desagradou encaixe mão 
4,Ótima relação custo x benefício 
5,Produto bom procura mouse coisas simples Resposta rápida alcance longo 
6,Supre tudo propõe 
7,bom 
8,Ergonomia boa ... Acabamento legal ... Funciona bem superfícies ruins ... 
9,Mouse bom entrega extremamente rápida 
10,bom Confortável Superou toda expectativa Recomento demais 
11,perfeito preciso grande torna confortável pra mão pouco menor Excelente qualidade resposta precisa 
12,Ótimo pode comprar 
13,Excelente mouse Funciona bem 
14,Conexão rapida funciona bem 
15,mouse responde bem interferências necessário usar mousepad tampo mesa vidro outras superfícies sólidas transparentes mouse funciona normalmente dispensando mousepad geral satisfeito produto 
16,Excelente produto 
17,mouse Logitech porém fio passou geração geração mãe peguei devido durabilidade dar bobeira comprar fio atendesse melhor infelicidade ter mesma durabilidade fazem apenas 8 meses agora funciona cursor apenas clique rolagem funcionam Vi site produtos marca 2 anos garantia caso comprado site marca preciso resolver marca vendeu Espero Amazon resolva problema passe insatisfação fabricante 
18,bom ... 
19,Mouse minimalista bonito confortável extremamente prático mouse Logitech sabe imbatíveis qualidade preço desempenho sucesso nessa compra garantido 
20,produto bom valeu pena ter comprado 
21,Gostei Vale pena 
22,Chegou rápido comprei sexta segunda chegou Achei bom veio tudo certo funcionando perfeitamente 
23,sei posso relatar atendeu expectativas Edit Quase ano uso continua ótimo comprando segundo recomendo todos carga pilha ainda acabou dura extremamente confortável funcional perfeito trabalho Nunca utilizei mouses gamers saber diferença uso jogar jogo tranquilamente RTS 
24,Top 
25,mouse barato bem construído fácil conexão plugar usar pouco menor gostaria intenção ser mouse portátil pra usar onde precisar preciso confortável mouses certeza versátil valor portabilidade qualidade Recomendo 
26,Excelente mouse trabalho 
27,bom Botão ligar desligar bateria dura tempo 
28,Bom uso normal rápida resposta leve uso indicaria games 
29,bom 
30,Ótimo jogar problemas interferência 
31,bom fácil usar 
32,produto cumpre promete ótimo Custo benefício ótimo Quanto prazo entrega estipulado Amazon surpreendeu entregou 8 dias antes gratificante 
33,Bem confortável ergonômico boa qualidade Responde bem movimentos possui rápida conexão anterior possuía slot pra alojar receptor USB possui parabéns 
34,mouse bom apenas pouco barulhento achei pequeno mim mão grande atende expectativas padrão 
35,Ótima precisão pra usar qualquer superfície 
36,bom boa qualidade !! 
37,bom 
38,bom Contem preciso mouse qualidade 
39,Gostei tudo nele 
40,Excelente Preciso molda bem mão 
41,Gostei mouse tanto segundo compro Comprei pra mim antes deste comprei pra esposa Funciona bem 
42,Entrega rápida problemas Mouse leve bonito confortável Vai servir bem dia dia 
43,Ergônomia design precisão 
44,Mouse excelente dia dia leve boa pegada Mouse pouco maior outros então mão pouco maior confortável Entrega rápida parte DHL Transportadora 
45,melhor mouse fio 
46,Ótimo produto aprovado demais 
47,Excelente !! 
48,Ótimo 
49,bom ... sempre preciso mouse procuro Logitech decepciono 
50,Excelente produto 
51,mouse bom porém segundo compro marca primeiro parou funcionar scrool 2 meses agora veio marcas uso Manterei produto certeza comprarei desta marca 
52,Produto chegou perfeito Vendedor confiança 
53,Excelente Preciso ergonômico Conexão problemas momento 
54,ergonômico confortável Pra jogos indicaria pra trabalho excelente 
55,Ótimo custo - benefício comparado mesma categoria 
56,Custo / benefício 
57,Mouse bom bonito acabamento bacana resistente Gostei maciez clic macio arrasta diversas superfícies precisa mousepad mão grande adaptando uso Achei bem preciso momento gostei demais achei interessante ter luz vermelha demais !! entrega dentro prazo chegou tudo COMPENSA DEMAIS 
58,"Adorei produto sabia dimensões "" Reduzidas "", assim deixa desejar considerarmos preço Chegou antes previsto !!! dois problemas 1 preciso 2 “ scroll ” pouco travado "
59,recomendo .... bom produto 
60,Instação facílima 
61,Mouse veio perfeito estado embalado corretamente lacrado vem pilha Responde bem rápido comando rodinha rolar macia possível ligar desligar economizar bateria laser Cliques silenciosos Adorei 
62,Melhor custo benefício Produto alta qualidade Pilha dura 1 ano tranquilo 
63,Produto excelente qualidade 
64,outro mouse Multilaser gostei pois quebrou 30 dias uso 
65,mouse parou funcionar nada quatro meses uso luz acende computador reconhece receptor inserido entrada usb funciona 
66,Gostei bastante achei ia gostar cor achei prata bem básico gostei 
67,Ótimo 
68,Mouse super rápido clique suave bem preciso pra mim tamanho ideal terceiro compro ... adoro Além tudo fácil reconhecimento vem pilha Super recomendo 
69,designer comprado mouse vez durou aaaaanos Daí comprar outra marca lasquei pois precisão inferior preciso trabalho Nunca faço besteira ... simplesmente AMO mouse 
70,Excelente qualidade Chegou antes prazo 
71,Atendeu expectativas 
72,bom Recomendo 
73,Adorei bom fácil usar bateria longa duração preciso preço razoável Recomendo 
74,mouse ótimo preço vezes sofre interferência nada comprometa 
75,Produto atendeu totalmente expectativa entrega rápida fica ainda melhor 
76,Mouse super prático 
77,produto chegou dentro prazo estipulado perfeito estado mouse cumpre bem promete 
78,mouse chegou certinho achei super rapido nao trava 
79,Ergonômico 
80,2º mouse logitech problema comigo .. simplesmente 3 4 meses uso parou funcionar .. Nunca compro .. horrível 
81,Bom custo benefício Atende bem necessidades 
82,Qualidade construção boa luz vermelha embaixo boa precisão recomendo frete rápido chegou semana 
83,segundo compro ótimo 
84,Produto ótima qualidade design 
85,bom 
86,pouco 3 meses deu defeito 
87,Funciona corretamente 
88,achei menor imaginava 
89,gosta algo bom preço bom uso diário mouse ideal quase ano nenhum problema Recomendo 
90,Comprei reserva cismei usar hoje veio quebrado pilha totalmente gasta troquei nova lacrada liga acende luz nada pior ? Devolver agência PRÓPRIAS Correios 55 reais paga gasolina risco corro pandemia Decepcionado Produto veio lacrado quebrado 
91,Ótimo custo benefício 
92,"pensei ser tão prático ... plenamente recompensado aquisição pronta entrega amazon ., entrega deu menos 24 hs "
93,produtos Logitech bons diferente mouse bom leve preciso satisfeito aquisição 
94,Ah alguns dias utilizando trabalho gostando bastante pequeno comparado Microsoft falhou nenhum quesito atendido expectativas 
95,Prático 
96,Ótimos produto entrega igual !!! 
97,tudo dito 
98,Tudo bem 
99,problemas 
100,dia dia pra jogos serve bem Baixa latência 
101,Bom custo benefício pequeno grande ideal jogos dia dia quebra galho querendo mouse fio fiquei feliz vir pilha inclusa valor 
102,Mouse super leve clique rápido precisava trabalhar design 
103,Mouse bom uso trabalho todo dia mãos grandes ser compacto atrapalha nada super recomendo 
104,preciso rápido 
105,prático confortável excelente !! 
106,Produto leve desliza bem 
107,pra ninguém logitech logitech 
108,Tudo normal 
109,mídia pôde ser carregada Ergonômico ótimo desempenho Segunda compra faço desse mouse bom Entrega nota 1000 Indico todos procuram qualidade ótimo custo benefício 
110,Mouse simples firula ergonômico conector usb minusculo vem pilha Recomendo 
111,uso meses nunca deu problema 
112,"Comprei outubro 2020 agora março 2021 começou dar problema barra rolagem ... ... dinheiro jogado ..., dado problema realmente ótimo mouse "
113,Bem melhor multilaser termos ergonomia precisão apresenta falhas típicas outro Bom custo benefício Espero econômico pilhas vamos observar tempo 
114,Funcionando perfeitamente 
115,Poderia ser melhor algo enrosca fica raspando mouse pad melhor usar recomendo Achei pouco largo d + usar compraria modelo novamente 
116,Produto desemprenho excelente super pratico confortável 
117,Comprei mouse utilizá - lo trabalho testei jogos afins proposta mouse preço ótimo produto além modelo simples designer entrega mobilidade função excelente fim facilidade poder guardar levá - lo qualquer lugar Excelente produto 
118,Gostei produto chegou antes tempo previsto Ergonômico preciso existe algo gostei 
119,Atende perfeitamente todo tipo uso computador / notebook 
120,produto otima qualidade veio prazo 
121,Ótimo Super ergonômico bastante preciso reclamar Uso notebook casa 
122,Gostei 
123,Temia poderia ser pequeno demais mim ficou ótimo Confortável preciso suficiente uso dia dia 
124,mouse atende bem expectativas recomendo 
125,Preciso rápido boa construção super eficaz bonito 
126,peças além mouse pra ter vindo aqui ? dúvida ainda abri alguém pode dizer ? 
127,"usando duas semanas uso dia - - dia jogar algumas horas semana uso dia - - dia bom bonito precisão boa botões bons rodinha funciona bem jogos funciona bem note mouse gamer bom bastante jogar tranquilidade Vamos pontos fracos mouse desconfortável poderia ser melhor pessoa mãos pequenas ( homem 1 metro 60 ), assim penso mouse poderia ser pouco maior ter curvatura pouco melhor geral bom produto vai ser mouse principal durante bom tempo "
128,ótimo produto boa ergonomia aceita várias superfícies fato ter laser aceso influencia bastante pad mouse letras brancas refletem luz testei jogos porque realidade proposta atende perfeitamente 
129,Vale investimento ótimo custo beneficio aparentemente durável bom acabamento precisão 
130,usando mouse algumas semanas entregando promete Utilizo diariamente trabalhar 
131,ótimo mouse Existe apenas questão positiva negativa tempo possui compartimento onde pode guardar conector USB acessa - lo necessario abrir tampinha onde pode trocar pilha toda vez unico receio quebra - la uso normal guardar conector usb legal ter compartimento seguro causa receio 
132,Ótimo atividades básicas escritório Entrega rápida 
133,produto chegou prazo lacrado pilha ja mouse 
134,Gostei bastante produto mês uso agora aprovado Boa precisão ergonômico aparentemente dura bastante pilha Recomendo 
135,Produto ótimo !!! 
136,qualidade 
137,ate hj umas 9 horas manha tava funcionamdo agora sao 12 06 parou funcionar nada 
138,bom 
139,bom 
140,Comprei trabalhar arrependo bom ergonômico anterior Bom custo benefício 
141,top 
142,Excelente 
143,Mouse fio ótimo delay nano receptor pilhas inclusos tudo dentro mouse material resistente logitech ótima marca 
144,Mouse preciso rápido agradou bastante 
145,bom 
146,Ótimo 
147,mouse bonito ótimo design vem duas pilhas chegou conforme combinado Recomendo compra !! 
148,Produto bom confortável preciso 
149,Excelente mouse segundo compro deste modelo opinião excelente custo / benefício 
150,bom simples rápido único problema sei produto veio assim alguma coisa entrega veio riscado click direito chegou rápido demais 2 dias 
151,mídia pôde ser carregada bonito atendeu custo beneficio 
152,bom 
153,Além chegar antes prazo bom estado produto bem leve desliza facilidade respostas cliques seleções imediata assim conexão aparelho amando utilizar 
154,cumpre promete 
155,Produto super bom confortável ótima durabilidade relação bateria Recomendo 
156,Produto bom 
157,bom 
158,produto confiavel otimo toque responde bem comandos 
159,ergonômico material ótima qualidade 
160,aparelho forma simples funciona perfeitamente finalidade pretendia 
161,usa tradicional LED vermelho usa laser infravermelho invisível então parece mouse sempre desligado possível utilizar superfícies Poderia ser ainda melhor desligasse automaticamente chave manual ON / OFF 
162,Produto qualidade Atende perfeitamente uso diário 
163,Gostei especialmente rapidez fiz compra segunda sábado mãos Mouse aprovado vem pilha !! 
164,Produto cumpre feito leve preciso 
165,Ótimo custo benefício Funciona perfeitamente Entrega rápida 
166,Bom custo benefício 
167,simplesmente maravilhosos 
168,tratar mouse compacto pessoas média - grande começo ficarão confortáveis acostuma ergonomia mouse uso fica melhor Apesar disso usa mouse muitas horas dia talvez dores caso nunca usado mouse compacto vida Tirando aa ergonomia mouse extremamente preciso preço cobra delay imperceptível atividades comuns jogos ainda continua extremamente baixo 
169,Excelente produto 
170,faz 5 anos comprei outro melhor faixa preço economia boa pilhas precisão qualidade excepcional !!! 
171,Produto ótima qualidade precisão 
172,Qualidade excepcional produto honra marca 
173,entrega veio bastante atraso mouse qualidade bonito funcional 
174,Produto bom Ergonômico fácil usar transportar preciso 
175,Acabou chegar produtos encomendei loja amazon ... Chegou antes data prevista dentre mouse via Bluetooth testei notebook útil resposta eficiente comandos simples bem funcional veio pilha dentro dica importante prestei atenção ... comprar mouse desse bom comprar junto teclado via Bluetooth assim dupla fica legal comprei mouse enquanto Vlw amazon 
176,Excelente opção uso diário Mouse design bacana confortável tamanho certo grande pequeno 
177,bom gostando 
178,Ótimo produto 
179,Ótimo custo beneficio 
180,Ótimo mouse possuí outro Logitech bom bem leve mão pequena portanto fica bem confortável laser óptico vermelho economiza pilha Recomendo 
181,Melhor Mouse comprei ultimamente bateria demora eternidade pra ser trocada leve rápido respostas 
182,momento reclamar 
183,Mouse super ergonômico resposta precisa melhor custo benefício !!!!! 
184,Leve preciso 
185,mouse bem bacana leve usuário comum cumpre bem papel reclamar rodinha comprei dois mouses rodinha faz barulho bem irritante 
186,mouse gamer uso comum bom preço vale pena 
187,uso geral produto otimo 
188,bom 
189,melhor ja usei ate hoje Uso durante 15 horas dia empenho sempre excelente 
190,Excelente 
191,Excelente custo benefício bem preciso tanto trabalho estudo tarefas dia dia jogos precisão boa resposta rápida pegada legal apesar possuir mão grande chegou bem antes prazo pouco 1 semana recomendo 
192,Gostei bastante design bem feito deixar mão cãibra 
193,Gostei 
194,Ótimo mouse Ergonômico econômico durável 
195,Gostei design Além disso prático pois espaço armazenagem USB conecta computador reduzindo risco dano durante transporte mouse 
196,Mouse perfeito ótimo custo benefício adorei compra chegou conforme prazo 
197,bom Atende bem expectativas Ótimo custo benefício 
198,Funciona corretamente 
